suite,task_id,trial_id,task_description,success,action_entropy_kde,mean_log_density,std_log_density,all_action_entropy_kde,num_actions,mean_action_delta_norm,std_action_delta_norm,mean_pos_delta_norm,mean_rot_delta_norm,smoothness,mmd,replan_consistency,file
10,0,10,put both the alphabet soup and the tomato sauce in the basket,True,-9.068149685158168,9.068149685158168,1.0732714404596075,-9.105951497467984,274,0.05946051198630952,0.04696635772071254,0.058450606503206624,0.008546508828305124,"{'mean_action_delta': 0.059460509568452835, 'max_action_delta': 0.3540899455547333, 'std_action_delta': 0.04696635529398918, 'mean_action_accel': 0.04614011570811272, 'max_action_accel': 0.34327036142349243, 'mean_pos_delta': 0.0584506094455719, 'mean_rot_delta': 0.00854650791734457, 'mean_direction_consistency': 0.6500249935231883, 'num_gripper_transitions': 4, 'gripper_transitions': [{'t': 75, 'step_idx': 65, 'from': 'close', 'to': 'open'}, {'t': 159, 'step_idx': 149, 'from': 'open', 'to': 'close'}, {'t': 223, 'step_idx': 213, 'from': 'close', 'to': 'open'}, {'t': 276, 'step_idx': 266, 'from': 'open', 'to': 'close'}], 'mean_boundary_delta': 0.07636307924985886, 'mean_within_chunk_delta': 0.055292755365371704, 'boundary_ratio': 1.3810684373613782, 'num_chunk_boundaries': 54}",{},"{'mean_replan_l2': 0.32806138777070576, 'max_replan_l2': 3.495678186416626, 'std_replan_l2': 0.613711232647201, 'num_replans': 54}",actions_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_trial10_success.json
10,0,18,put both the alphabet soup and the tomato sauce in the basket,True,-9.068149685158168,9.068149685158168,1.0732714404596075,-9.105951497467984,390,0.06914663363540195,0.08411633836486865,0.0681970894018279,0.008461785124681272,"{'mean_action_delta': 0.06914663314819336, 'max_action_delta': 1.0855709314346313, 'std_action_delta': 0.08411633968353271, 'mean_action_accel': 0.06397656351327896, 'max_action_accel': 1.21019446849823, 'mean_pos_delta': 0.0681970864534378, 'mean_rot_delta': 0.0084617855027318, 'mean_direction_consistency': 0.5420271246213966, 'num_gripper_transitions': 10, 'gripper_transitions': [{'t': 169, 'step_idx': 159, 'from': 'close', 'to': 'open'}, {'t': 170, 'step_idx': 160, 'from': 'open', 'to': 'close'}, {'t': 173, 'step_idx': 163, 'from': 'close', 'to': 'open'}, {'t': 261, 'step_idx': 251, 'from': 'open', 'to': 'close'}, {'t': 328, 'step_idx': 318, 'from': 'close', 'to': 'open'}, {'t': 375, 'step_idx': 365, 'from': 'open', 'to': 'close'}, {'t': 380, 'step_idx': 370, 'from': 'close', 'to': 'open'}, {'t': 389, 'step_idx': 379, 'from': 'open', 'to': 'close'}, {'t': 390, 'step_idx': 380, 'from': 'close', 'to': 'open'}, {'t': 391, 'step_idx': 381, 'from': 'open', 'to': 'close'}], 'mean_boundary_delta': 0.11962095648050308, 'mean_within_chunk_delta': 0.05668983235955238, 'boundary_ratio': 2.110095435135762, 'num_chunk_boundaries': 77}",{},"{'mean_replan_l2': 0.6056064790138951, 'max_replan_l2': 4.76763391494751, 'std_replan_l2': 0.9563953998694901, 'num_replans': 77}",actions_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_trial18_success.json
10,6,5,put the white mug on the plate and put the chocolate pudding to the right of the plate,True,-8.467186447241389,8.467186447241389,0.7992754403514646,-8.434545358669565,221,0.05281792933925648,0.031599158656792914,0.05158712037479166,0.008438602367691188,"{'mean_action_delta': 0.0528179295361042, 'max_action_delta': 0.2711919844150543, 'std_action_delta': 0.03159915655851364, 'mean_action_accel': 0.036517344415187836, 'max_action_accel': 0.4138025939464569, 'mean_pos_delta': 0.05158711597323418, 'mean_rot_delta': 0.008438602089881897, 'mean_direction_consistency': 0.6720581656783292, 'num_gripper_transitions': 3, 'gripper_transitions': [{'t': 59, 'step_idx': 49, 'from': 'close', 'to': 'open'}, {'t': 137, 'step_idx': 127, 'from': 'open', 'to': 'close'}, {'t': 195, 'step_idx': 185, 'from': 'close', 'to': 'open'}], 'mean_boundary_delta': 0.06858161091804504, 'mean_within_chunk_delta': 0.048877011984586716, 'boundary_ratio': 1.403146553632864, 'num_chunk_boundaries': 44}",{},"{'mean_replan_l2': 0.27344347909092903, 'max_replan_l2': 2.065030097961426, 'std_replan_l2': 0.4906705358062146, 'num_replans': 44}",actions_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_trial5_success.json
10,4,18,put the white mug on the left plate and put the yellow and white mug on the right plate,True,-8.199715372891982,8.199715372891982,1.0657027577252463,-8.269770816276504,241,0.0664049332359961,0.04825196376790944,0.06479196713189594,0.010153596700304964,"{'mean_action_delta': 0.06640493124723434, 'max_action_delta': 0.36051058769226074, 'std_action_delta': 0.048251960426568985, 'mean_action_accel': 0.0514124371111393, 'max_action_accel': 0.3725171685218811, 'mean_pos_delta': 0.0647919699549675, 'mean_rot_delta': 0.01015359628945589, 'mean_direction_consistency': 0.6723696600556155, 'num_gripper_transitions': 7, 'gripper_transitions': [{'t': 57, 'step_idx': 47, 'from': 'close', 'to': 'open'}, {'t': 59, 'step_idx': 49, 'from': 'open', 'to': 'close'}, {'t': 60, 'step_idx': 50, 'from': 'close', 'to': 'open'}, {'t': 124, 'step_idx': 114, 'from': 'open', 'to': 'close'}, {'t': 125, 'step_idx': 115, 'from': 'close', 'to': 'open'}, {'t': 132, 'step_idx': 122, 'from': 'open', 'to': 'close'}, {'t': 203, 'step_idx': 193, 'from': 'close', 'to': 'open'}], 'mean_boundary_delta': 0.09928654879331589, 'mean_within_chunk_delta': 0.058184534311294556, 'boundary_ratio': 1.7064078963341083, 'num_chunk_boundaries': 48}",{},"{'mean_replan_l2': 0.4767146948724985, 'max_replan_l2': 4.514033317565918, 'std_replan_l2': 0.8163988414682097, 'num_replans': 48}",actions_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_trial18_success.json
10,9,17,put the yellow and white mug in the microwave and close it,True,-5.8928381740784594,5.8928381740784594,1.0999975579274333,-5.8928381740784594,250,0.06853410706716967,0.07014036965021052,0.0655418305478272,0.016125530260357908,"{'mean_action_delta': 0.06853411346673965, 'max_action_delta': 0.6901006698608398, 'std_action_delta': 0.07014036923646927, 'mean_action_accel': 0.06524147838354111, 'max_action_accel': 0.6406803131103516, 'mean_pos_delta': 0.0655418336391449, 'mean_rot_delta': 0.016125530004501343, 'mean_direction_consistency': 0.618501148614732, 'num_gripper_transitions': 6, 'gripper_transitions': [{'t': 97, 'step_idx': 87, 'from': 'close', 'to': 'open'}, {'t': 159, 'step_idx': 149, 'from': 'open', 'to': 'close'}, {'t': 160, 'step_idx': 150, 'from': 'close', 'to': 'open'}, {'t': 163, 'step_idx': 153, 'from': 'open', 'to': 'close'}, {'t': 165, 'step_idx': 155, 'from': 'close', 'to': 'open'}, {'t': 168, 'step_idx': 158, 'from': 'open', 'to': 'close'}], 'mean_boundary_delta': 0.11641597747802734, 'mean_within_chunk_delta': 0.056803055107593536, 'boundary_ratio': 2.049466833386302, 'num_chunk_boundaries': 49}",{},"{'mean_replan_l2': 0.5782141522789488, 'max_replan_l2': 4.056692123413086, 'std_replan_l2': 0.9325871970769829, 'num_replans': 49}",actions_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_trial17_success.json
10,6,10,put the white mug on the plate and put the chocolate pudding to the right of the plate,True,-8.467186447241389,8.467186447241389,0.7992754403514646,-8.434545358669565,231,0.04742975321031459,0.031055420413159555,0.0464794036917105,0.006647317430242369,"{'mean_action_delta': 0.047429751604795456, 'max_action_delta': 0.21379460394382477, 'std_action_delta': 0.031055420637130737, 'mean_action_accel': 0.03574233502149582, 'max_action_accel': 0.23583625257015228, 'mean_pos_delta': 0.046479400247335434, 'mean_rot_delta': 0.006647317670285702, 'mean_direction_consistency': 0.6756088227424039, 'num_gripper_transitions': 5, 'gripper_transitions': [{'t': 58, 'step_idx': 48, 'from': 'close', 'to': 'open'}, {'t': 149, 'step_idx': 139, 'from': 'open', 'to': 'close'}, {'t': 150, 'step_idx': 140, 'from': 'close', 'to': 'open'}, {'t': 151, 'step_idx': 141, 'from': 'open', 'to': 'close'}, {'t': 208, 'step_idx': 198, 'from': 'close', 'to': 'open'}], 'mean_boundary_delta': 0.07279999554157257, 'mean_within_chunk_delta': 0.04108719155192375, 'boundary_ratio': 1.7718416078541632, 'num_chunk_boundaries': 46}",{},"{'mean_replan_l2': 0.27113713469842204, 'max_replan_l2': 2.031583070755005, 'std_replan_l2': 0.471953367359953, 'num_replans': 46}",actions_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_trial10_success.json
10,1,9,put both the cream cheese box and the butter in the basket,True,-7.430625878980725,7.430625878980725,1.1921693550883017,-7.430625878980725,232,0.0938117898621665,0.0727648268306076,0.09150796196145283,0.01574039444210435,"{'mean_action_delta': 0.09381179511547089, 'max_action_delta': 0.639136016368866, 'std_action_delta': 0.07276482880115509, 'mean_action_accel': 0.0705321803689003, 'max_action_accel': 0.6512848734855652, 'mean_pos_delta': 0.09150796383619308, 'mean_rot_delta': 0.015740394592285156, 'mean_direction_consistency': 0.6998462124687174, 'num_gripper_transitions': 4, 'gripper_transitions': [{'t': 64, 'step_idx': 54, 'from': 'close', 'to': 'open'}, {'t': 135, 'step_idx': 125, 'from': 'open', 'to': 'close'}, {'t': 188, 'step_idx': 178, 'from': 'close', 'to': 'open'}, {'t': 235, 'step_idx': 225, 'from': 'open', 'to': 'close'}], 'mean_boundary_delta': 0.14791668951511383, 'mean_within_chunk_delta': 0.08035868406295776, 'boundary_ratio': 1.840705721353365, 'num_chunk_boundaries': 46}",{},"{'mean_replan_l2': 0.5079926420813021, 'max_replan_l2': 4.050821781158447, 'std_replan_l2': 0.8545741287116704, 'num_replans': 46}",actions_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_trial9_success.json
10,7,18,put both the alphabet soup and the cream cheese box in the basket,True,-7.047933483640041,7.047933483640041,1.2402910046207511,-7.047933483640041,235,0.07575383437021325,0.06032633659823648,0.07292252459014073,0.015023323468357507,"{'mean_action_delta': 0.0757538303732872, 'max_action_delta': 0.4099005460739136, 'std_action_delta': 0.060326337814331055, 'mean_action_accel': 0.06255863606929779, 'max_action_accel': 0.3663598597049713, 'mean_pos_delta': 0.07292252033948898, 'mean_rot_delta': 0.015023322775959969, 'mean_direction_consistency': 0.6655666021302407, 'num_gripper_transitions': 6, 'gripper_transitions': [{'t': 57, 'step_idx': 47, 'from': 'close', 'to': 'open'}, {'t': 112, 'step_idx': 102, 'from': 'open', 'to': 'close'}, {'t': 115, 'step_idx': 105, 'from': 'close', 'to': 'open'}, {'t': 117, 'step_idx': 107, 'from': 'open', 'to': 'close'}, {'t': 175, 'step_idx': 165, 'from': 'close', 'to': 'open'}, {'t': 238, 'step_idx': 228, 'from': 'open', 'to': 'close'}], 'mean_boundary_delta': 0.1292186677455902, 'mean_within_chunk_delta': 0.06267201900482178, 'boundary_ratio': 2.061823917554795, 'num_chunk_boundaries': 46}",{},"{'mean_replan_l2': 0.6047141788446385, 'max_replan_l2': 4.011478424072266, 'std_replan_l2': 0.8843311750481435, 'num_replans': 46}",actions_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_trial18_success.json
10,9,15,put the yellow and white mug in the microwave and close it,True,-5.8928381740784594,5.8928381740784594,1.0999975579274333,-5.8928381740784594,336,0.07495088146082056,0.083417568270265,0.07279953895164515,0.013295196600383453,"{'mean_action_delta': 0.07495088130235672, 'max_action_delta': 0.7705285549163818, 'std_action_delta': 0.08341757208108902, 'mean_action_accel': 0.0783199742436409, 'max_action_accel': 0.961908757686615, 'mean_pos_delta': 0.07279953360557556, 'mean_rot_delta': 0.013295195996761322, 'mean_direction_consistency': 0.5502921944194122, 'num_gripper_transitions': 6, 'gripper_transitions': [{'t': 92, 'step_idx': 82, 'from': 'close', 'to': 'open'}, {'t': 178, 'step_idx': 168, 'from': 'open', 'to': 'close'}, {'t': 180, 'step_idx': 170, 'from': 'close', 'to': 'open'}, {'t': 229, 'step_idx': 219, 'from': 'open', 'to': 'close'}, {'t': 230, 'step_idx': 220, 'from': 'close', 'to': 'open'}, {'t': 241, 'step_idx': 231, 'from': 'open', 'to': 'close'}], 'mean_boundary_delta': 0.13932402431964874, 'mean_within_chunk_delta': 0.05885758996009827, 'boundary_ratio': 2.3671377712560377, 'num_chunk_boundaries': 67}",{},"{'mean_replan_l2': 0.9354819963449863, 'max_replan_l2': 5.02447509765625, 'std_replan_l2': 1.420133988929687, 'num_replans': 67}",actions_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_trial15_success.json
10,9,5,put the yellow and white mug in the microwave and close it,True,-5.8928381740784594,5.8928381740784594,1.0999975579274333,-5.8928381740784594,249,0.08064109853829347,0.08336381500199488,0.07743287241206534,0.016924459049234078,"{'mean_action_delta': 0.08064109832048416, 'max_action_delta': 0.5932502746582031, 'std_action_delta': 0.08336381614208221, 'mean_action_accel': 0.08168068528175354, 'max_action_accel': 0.8847415447235107, 'mean_pos_delta': 0.07743287086486816, 'mean_rot_delta': 0.016924457624554634, 'mean_direction_consistency': 0.5743971376751478, 'num_gripper_transitions': 10, 'gripper_transitions': [{'t': 84, 'step_idx': 74, 'from': 'close', 'to': 'open'}, {'t': 143, 'step_idx': 133, 'from': 'open', 'to': 'close'}, {'t': 145, 'step_idx': 135, 'from': 'close', 'to': 'open'}, {'t': 149, 'step_idx': 139, 'from': 'open', 'to': 'close'}, {'t': 150, 'step_idx': 140, 'from': 'close', 'to': 'open'}, {'t': 152, 'step_idx': 142, 'from': 'open', 'to': 'close'}, {'t': 155, 'step_idx': 145, 'from': 'close', 'to': 'open'}, {'t': 158, 'step_idx': 148, 'from': 'open', 'to': 'close'}, {'t': 160, 'step_idx': 150, 'from': 'close', 'to': 'open'}, {'t': 162, 'step_idx': 152, 'from': 'open', 'to': 'close'}], 'mean_boundary_delta': 0.14789500832557678, 'mean_within_chunk_delta': 0.0640810877084732, 'boundary_ratio': 2.307935361497011, 'num_chunk_boundaries': 49}",{},"{'mean_replan_l2': 0.6546321649636541, 'max_replan_l2': 4.264321327209473, 'std_replan_l2': 1.0512502962126695, 'num_replans': 49}",actions_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_trial5_success.json
